,name,type,location,rating,num_ratings,age,price,abv,style,cask,flavor_summary,expert,score,Smoky,Peaty,Spicy,Herbal,Oily,Full-bodied,Rich,Sweet,Briny,Salty,Vanilla,Tart,Fruity,Floral
0,Rock Town Straight Bottled in Bond Bourbon,Bourbon,"Rock Town // Arkansas, USA",3.5,3,4 Year,3,50.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Rich & Spicy,Rob Morton,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,George T. Stagg Bourbon (Fall 2018),Bourbon,"George T. Stagg // Kentucky, USA",4.59,420,NAS,4,62.45,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Vanilla & Full Bodied,Jake Emen,93,20.0,0.0,80.0,40.0,20.0,90.0,70.0,60.0,0.0,0.0,90.0,10.0,20.0,0.0
2,Happenstance Founder's Edition Straight Bourbon,Bourbon,"Happenstance Whiskey // Indiana (bottled in Tennessee), USA",,0,NAS,3,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Full Bodied & Rich,Amanda Schuster,83,5.0,0.0,25.0,0.0,5.0,75.0,70.0,60.0,0.0,0.0,25.0,20.0,40.0,0.0
3,Wild Turkey Rare Breed Barrel Proof Bourbon,Bourbon,"Wild Turkey // Kentucky, USA",4.11,2198,NAS,2,58.4,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Vanilla & Full Bodied,Jake Emen,93,30.0,0.0,70.0,30.0,0.0,90.0,80.0,70.0,0.0,0.0,90.0,20.0,10.0,10.0
4,Temperance Trader Chinato Barrel-Finished Bourbon,Bourbon,"Temperance Trader // Indiana (bottled in Oregon), USA",3.68,9,NAS,2,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak; finished in ex-chinato casks",Herbal & Fruity,Distiller Staff,87,0.0,0.0,40.0,90.0,10.0,30.0,10.0,50.0,0.0,0.0,60.0,10.0,80.0,30.0
5,William Larue Weller Bourbon (Fall 2010),Bourbon,"William Larue Weller // Kentucky, USA",4.9,5,12 Year,5,63.3,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Herbal & Fruity,Distiller Staff,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Barrell Bourbon Batch 001,Bourbon,"Barrell Craft Spirits // Tennessee , USA",4.37,32,5 Year,3,60.8,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Rich & Full Bodied,Keith Allison,88,70.0,0.0,80.0,20.0,30.0,80.0,80.0,70.0,0.0,10.0,70.0,10.0,50.0,50.0
7,Redemption Barrel Proof 9 Year Straight Bourbon,Bourbon,"Redemption // Indiana, USA",3.08,12,9 Year,4,55.3,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Rich & Full Bodied,Amanda Schuster,82,10.0,0.0,70.0,20.0,5.0,70.0,70.0,60.0,0.0,20.0,30.0,15.0,40.0,0.0
8,Feisty Spirits Blue Corn Bourbon,Bourbon,"Feisty Spirits // Colorado, USA",2.5,2,NAS,2,44.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Spicy,Katrina Niemisto,81,10.0,0.0,65.0,10.0,0.0,15.0,20.0,35.0,0.0,0.0,25.0,0.0,45.0,15.0
9,Bond & Lillard Kentucky Straight Bourbon (Batch #1),Bourbon,"Bond & Lillard // Kentucky, USA",3.59,71,NAS,4,50.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Fruity & Sweet,Stephanie Moreno,85,35.0,0.0,40.0,10.0,20.0,50.0,50.0,55.0,0.0,0.0,40.0,20.0,60.0,0.0
10,Widow Jane The Vaults 14 Year Bourbon (2019 Release),Bourbon,Widow Jane // USA,4.02,34,14 Year,4,49.5,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.",finished in American oak air-seasoned for 8 years,Fruity & Sweet,Stephanie Moreno,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Amador Whiskey Co. Double Barrel Bourbon,Bourbon,"Amador Whiskey Co. // Kentucky (Finished and Bottled in California), USA",3.49,345,NAS,2,43.4,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","New, Charred American Oak and Ex-Napa Valley Wine",Spicy,Tim Knittel,80,35.0,0.0,60.0,25.0,15.0,40.0,35.0,45.0,10.0,10.0,40.0,35.0,35.0,15.0
12,Woodford Reserve Master's Collection Select American Oak Bourbon,Bourbon,"Woodford Reserve // Kentucky, USA",3.73,32,NAS,4,45.2,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak (Ozark oak)",Spicy,Tim Knittel,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Watershed Bourbon,Bourbon,"Watershed // Ohio, USA",3.59,8,4 Year,2,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak, apple brandy barrels",Fruity & Sweet,Amanda Schuster,87,5.0,0.0,10.0,18.0,5.0,50.0,55.0,60.0,0.0,0.0,20.0,15.0,60.0,0.0
14,Chestnut Farms Bourbon,Bourbon,"Chestnut Farms // Kentucky, USA",3.71,187,NAS,2,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","New, Charred American Oak",Fruity & Sweet,Amanda Schuster,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,George T. Stagg Bourbon (Fall 2018),Bourbon,"George T. Stagg // Kentucky, USA",4.59,420,NAS,4,62.45,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Vanilla & Full Bodied,Jake Emen,93,20.0,0.0,80.0,40.0,20.0,90.0,70.0,60.0,0.0,0.0,90.0,10.0,20.0,0.0
16,Jim Beam Bonded Bourbon,Bourbon,"Jim Beam // Kentucky, USA",3.49,467,NAS,1,50.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Vanilla & Floral,Keith Allison,90,30.0,0.0,70.0,40.0,30.0,60.0,70.0,70.0,0.0,20.0,80.0,10.0,70.0,70.0
17,Boondocks 8 Year Port Finished Bourbon,Bourbon,"Boondocks // Kentucky, USA",3.82,84,8 Year,2,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak & port",Vanilla & Floral,Keith Allison,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Four Roses 125th Anniversary Limited Edition Small Batch Bourbon (2013),Bourbon,"Four Roses // Kentucky, USA",4.55,89,NAS,4,51.6,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.",new charred oak,Sweet & Rich,Amanda Schuster,90,15.0,0.0,25.0,0.0,10.0,65.0,65.0,75.0,0.0,0.0,25.0,0.0,20.0,15.0
19,Eighteen 33 Straight Bourbon,Bourbon,"Boone County Distilling Co // (bottled in Kentucky), USA",3.98,112,10 Year,3,45.4,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","New, Charred American Oak",Sweet & Rich,Amanda Schuster,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Great Jones Straight Bourbon,Bourbon,"Great Jones // New York, USA",3.17,7,NAS ,2,43.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Sweet & Rich,Amanda Schuster,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Wyoming Whiskey Single Barrel Bourbon (2017),Bourbon,"Wyoming Whiskey // Wyoming, USA",3.5,14,NAS,3,44.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Vanilla & Full Bodied,Jake Emen,89,30.0,0.0,70.0,40.0,30.0,70.0,60.0,60.0,0.0,0.0,70.0,20.0,30.0,0.0
22,Belle Meade Bourbon Sherry Cask Finish,Bourbon,"Belle Meade // Indiana (bottled in Tennessee), USA",3.9,361,9 Year,4,45.2,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak and finished in European ex-sherry casks",Rich & Full Bodied,Jake Emen,92,0.0,0.0,40.0,30.0,20.0,90.0,90.0,80.0,0.0,0.0,70.0,20.0,70.0,20.0
23,Silver Release Bourbon Whiskey,Bourbon,"Knox Whiskey Works // Tennessee, USA",3.5,8,NAS,2,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Rich & Full Bodied,Jake Emen,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Smoke Wagon Straight Bourbon Whiskey,Bourbon,"Nevada H&C Distilling Co. // Las Vegas, Nevada , USA",3.68,229,NAS,2,46.25,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.",,Rich & Full Bodied,Jake Emen,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Bruichladdich The Sixteens Bourbon Cask Aged,Single Malt,"Bruichladdich // Islay, Scotland",4.59,9,16 Year,4,46.0,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.",ex-bourbon (Jim Beam & Buffalo Trace),Rich & Full Bodied,Jake Emen,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Blaum Bros. OldFangled Knotter Bourbon 12 Year,Bourbon,"Blaum Bros. // Indiana, USA",4.35,38,12 Year,4,58.6,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Rich & Full Bodied,Jake Emen,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,High West American Prairie Bourbon,Bourbon,"High West // Indiana and Kentucky (bottled in Utah), USA",3.59,1704,NAS,2,46.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","New, Charred American Oak",Rich & Full Bodied,Jake Emen,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Wild Turkey Kentucky Spirit Single Barrel Bourbon,Bourbon,"Wild Turkey // Kentucky, USA",3.85,753,NAS,2,50.5,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Sweet,Stephanie Moreno,84,40.0,0.0,50.0,30.0,25.0,45.0,45.0,50.0,0.0,0.0,45.0,35.0,45.0,15.0
29,Wolcott Kentucky Straight Bourbon,Bourbon,"Wolcott // Kentucky, USA",3.36,95,NAS,1,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.",Fine charred american oak,Sweet,Stephanie Moreno,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Watkins Select Kentucky Straight Bourbon,Bourbon,"Watkins Select // Kentucky, USA",2.65,18,NAS,1,40.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Sweet,Stephanie Moreno,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Bookerâ€™s Bourbon Batch 2021-01 ""Donohoe's Batch""",Bourbon,"Booker's // Kentucky, USA",4.35,84,6 YR 11 MO 4 DY,4,62.65,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Sweet & Rich,Amanda Schuster,97,5.0,0.0,25.0,40.0,10.0,75.0,75.0,85.0,0.0,5.0,30.0,10.0,40.0,0.0
32,Kirkland Small Batch Bourbon 7 Year,Bourbon,"Kirkland // Kentucky, USA",3.17,144,7 Year,1,51.5,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Sweet & Rich,Amanda Schuster,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Larceny Barrel Proof Bourbon Batch A121,Bourbon,"Larceny // Kentucky, USA",4.02,71,NAS,3,57.4,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Sweet & Fruity,Amanda Schuster,92,15.0,0.0,30.0,5.0,20.0,60.0,60.0,65.0,0.0,5.0,40.0,20.0,60.0,0.0
34,Baltimore Epoch Straight Bourbon,Bourbon,"Epoch // Maryland , USA",,0,NAS,2,50.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Sweet & Fruity,Amanda Schuster,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,John J Bowman Single Barrel Bourbon,Bourbon,"A. Smith Bowman // Virginia, USA",3.84,570,NAS,3,50.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Vanilla & Full Bodied,Dennis Gobis,82,20.0,0.0,70.0,30.0,40.0,80.0,60.0,70.0,0.0,20.0,90.0,0.0,40.0,40.0
36,Big House Straight Bourbon 6 Year,Bourbon,"Big House // Indiana (bottled in Kentucky), USA",3.39,60,NAS,1,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Spicy,Paul Belbusti,81,20.0,0.0,85.0,30.0,10.0,40.0,40.0,40.0,0.0,20.0,40.0,30.0,40.0,20.0
37,Woodinville Straight Bourbon,Bourbon,"Woodinville // Washington, USA",3.71,603,NAS,2,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Rich & Full Bodied,Paul Belbusti,83,40.0,0.0,60.0,40.0,20.0,75.0,75.0,50.0,10.0,10.0,40.0,10.0,55.0,30.0
38,Bardstown Bourbon Co. Copper & Kings Muscat Mistelle Finish,Bourbon,"Bardstown Bourbon Co. // Indiana (bottled in Kentucky), USA",3.89,14,10 Year,5,49.95,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak & ex-Muscat Mistelle barrels",Fruity & Rich,Jake Emen,90,20.0,0.0,30.0,70.0,10.0,80.0,90.0,70.0,0.0,0.0,60.0,40.0,90.0,70.0
39,"Ezra Brooks ""Old Ezra"" 7 Year 101 Proof Bourbon",Bourbon,"Old Ezra // Kentucky, USA",3.44,123,7 Year,1,50.5,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","New, charred American Oak",Fruity & Rich,Jake Emen,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Woodford Reserve Master's Collection Very Fine Rare Bourbon,Bourbon,"Woodford Reserve // Kentucky, USA",4.08,94,NAS,4,45.2,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Fruity & Sweet,Stephanie Moreno,90,40.0,0.0,45.0,25.0,15.0,45.0,45.0,55.0,0.0,0.0,35.0,35.0,60.0,0.0
41,Deadwood Tumblin' Dice 3 Year Straight Bourbon,Bourbon,"Deadwood // Indiana, USA",3.67,12,3 Year,2,50.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Spicy,Jacob Grier,84,15.0,0.0,60.0,20.0,40.0,40.0,45.0,50.0,10.0,5.0,50.0,25.0,15.0,15.0
42,Starlight Single Barrel Rickhouse Select Indian Straight Bourbon Whiskey Bourbon World Holiday Edition 2020,Bourbon,USA,,0,,3,57.3,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.",,Spicy,Jacob Grier,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Dark Horse Reserve Bourbon,Bourbon,"Dark Horse Distillery // Kansas, USA",3.13,43,18 - 20 months,3,44.5,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, char #3 Missouri oak, 30 gallon",Sweet & Spicy,Amanda Schuster,74,0.0,0.0,73.0,0.0,0.0,60.0,65.0,80.0,0.0,0.0,10.0,0.0,30.0,0.0
44,O.F.C. Vintage Bourbon 1989,Bourbon,"O.F.C. Vintage Bourbon // Kentucky, USA",,0,NAS,5,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Sweet & Spicy,Amanda Schuster,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,St. Augustine Port Finished Bourbon,Bourbon,"St. Augustine // Florida, USA",3.52,60,NAS,2,51.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred american oak and ex-port wine",Fruity & Rich,Jake Emen,85,10.0,0.0,70.0,60.0,30.0,60.0,70.0,50.0,0.0,0.0,40.0,50.0,70.0,20.0
46,George T. Stagg Bourbon (Fall 2018),Bourbon,"George T. Stagg // Kentucky, USA",4.59,420,NAS,4,62.45,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Vanilla & Full Bodied,Jake Emen,93,20.0,0.0,80.0,40.0,20.0,90.0,70.0,60.0,0.0,0.0,90.0,10.0,20.0,0.0
47,Gray Skies Michigan Straight Bourbon Whiskey,Bourbon,"Gray Skies // Michigan, USA",3.66,11,NAS,2,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred american oak",Vanilla & Full Bodied,Jake Emen,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Taconic Distillery Dutchess Private Reserve Straight Bourbon Finished in Cognac Casks,Bourbon,"Taconic Distillery // New York, USA",4.04,6,NAS,2,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.",finished in cognac casks,Vanilla & Full Bodied,Jake Emen,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,O.F.C. Vintage Bourbon 1989,Bourbon,"O.F.C. Vintage Bourbon // Kentucky, USA",,0,NAS,5,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Vanilla & Full Bodied,Jake Emen,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,William Larue Weller Bourbon (Fall 2010),Bourbon,"William Larue Weller // Kentucky, USA",4.9,5,12 Year,5,63.3,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Vanilla & Full Bodied,Jake Emen,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Fistful of Bourbon,Bourbon,Fistful of Bourbon // USA,3.15,166,NAS,1,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Spicy & Vanilla,Jake Emen,79,20.0,0.0,90.0,50.0,40.0,60.0,60.0,50.0,0.0,0.0,70.0,30.0,10.0,0.0
52,Coppersea Excelsior Bourbon,Bourbon,"Coppersea // New York, USA",2.85,58,NAS,4,48.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred New York oak",Fruity & Sweet,Keith Allison,81,0.0,0.0,60.0,30.0,60.0,60.0,70.0,70.0,10.0,40.0,50.0,10.0,70.0,30.0
53,Bib & Tucker 6 Year Small Batch Bourbon,Bourbon,Bib & Tucker // USA,3.58,960,6 Year,3,46.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Floral & Herbal,Brock Schulte,80,50.0,0.0,50.0,60.0,10.0,40.0,50.0,40.0,0.0,0.0,50.0,0.0,40.0,70.0
54,Doan Distillery Bourbon,Bourbon,"Bourbon, USA",,0,,2,46.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.",,Floral & Herbal,Brock Schulte,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Old Hickory Great American Straight Bourbon,Bourbon,"Old Hickory Great American // Indiana (bottled in Ohio), USA",2.58,15,NAS,2,43.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Vanilla & Sweet,Paul Belbusti,80,20.0,0.0,70.0,30.0,20.0,50.0,60.0,70.0,0.0,0.0,70.0,20.0,20.0,20.0
56,Balcones Texas Straight Bourbon Spring 2021 Single Cask #8 (Lost Lantern),Bourbon,"Lost Lantern // Texas, USA",4.5,1,NAS,4,63.4,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Vanilla & Sweet,Paul Belbusti,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,"Booker's Bourbon Batch 2015-01 ""Big Man, Small Batch""",Bourbon,"Booker's // Kentucky, USA",4.37,712,"7 y, 2 m,16 d ",3,64.35,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Rich & Full Bodied,Amanda Schuster,98,15.0,0.0,35.0,5.0,20.0,80.0,80.0,75.0,0.0,10.0,30.0,20.0,40.0,0.0
58,William Larue Weller Bourbon (Fall 2010),Bourbon,"William Larue Weller // Kentucky, USA",4.9,5,12 Year,5,63.3,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Rich & Full Bodied,Amanda Schuster,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Bruichladdich 1985/32 Bourbon: Hidden Glory,Single Malt,"Bruichladdich // Islay, Scotland",4.83,6,32 Year,5,48.7,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.",ex-bourbon barrels & hogsheads,Fruity & Sweet,Anne-Sophie Bigot,90,10.0,0.0,55.0,55.0,40.0,60.0,80.0,80.0,30.0,30.0,60.0,65.0,80.0,40.0
60,"Bookerâ€™s Bourbon Batch 2018-04 ""Kitchen Table""",Bourbon,"Booker's // Kentucky, USA",4.12,154,6 Year,3,64.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.",,Fruity & Sweet,Anne-Sophie Bigot,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Wilderness Trail Bottled in Bond Single Barrel Bourbon,Bourbon,"Wilderness Trail // Kentucky, USA",3.59,325,NAS,2,50.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Fruity & Sweet,Anne-Sophie Bigot,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Easy Rider Bourbon,Bourbon,"Easy Rider // Kentucky (bottled in Oregon), USA",2.78,9,4 Year,1,40.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Fruity & Sweet,Anne-Sophie Bigot,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Hudson Four Grain Bourbon,Bourbon,"Hudson Whiskey // New York, USA",3.37,241,NAS,4,46.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","Three-Gallon, New American Oak",Fruity,Rob Morton,85,30.0,0.0,50.0,30.0,50.0,50.0,40.0,30.0,0.0,0.0,20.0,30.0,60.0,40.0
64,Woodinville Microbarreled Bourbon,Bourbon,"Woodinville // Washington, USA",3.61,69,NAS,2,46.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.",charred american / micro barrel,Fruity,Rob Morton,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,"Barrell Bourbon Private Release ""Bourbon Charity Custom Blend""",Bourbon,"Kentucky/Tennessee/Indiana, USA",4.25,1,,4,54.59,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.",New Charred American Oak,Fruity,Rob Morton,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Bower Hill Barrel Reserve Bourbon,Bourbon,"Bower Hill // Kentucky, USA",3.17,30,NAS,2,43.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Fruity,Rob Morton,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Oola Waitsburg Bourbon,Bourbon,"Oola // Washington, USA",3.38,123,NAS,2,47.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.",Charred American White Oak,Floral & Fruity,Phil Olson,80,35.0,0.0,50.0,50.0,40.0,30.0,50.0,55.0,20.0,10.0,25.0,65.0,75.0,75.0
68,Detroit City Four Grain Straight Bourbon,Bourbon,"Detroit City // Michigan , USA",,0,NAS ,3,50.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak, ex-wine, maple, ex-cognac",Floral & Fruity,Phil Olson,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Four Roses Limited Edition Small Batch Bourbon (2021),Bourbon,"Four Roses // Kentucky, USA",4.34,8,NAS ,4,57.1,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Rich & Full Bodied,Amanda Schuster,91,10.0,0.0,35.0,10.0,15.0,85.0,85.0,70.0,0.0,5.0,15.0,20.0,40.0,0.0
70,Glenfiddich Our Bourbon Barrel Reserve Fourteen,Single Malt,"Glenfiddich // Speyside, Scotland",4.0,1,14 Year,4,43.0,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.",Bourbon Barrel,Rich & Full Bodied,Amanda Schuster,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Hunter's Select Barrel Tennessee Bourbon (Batch 1),Bourbon,"Leiper's Fork Distillery // Tennessee, USA",4.26,21,NAS,3,47.5,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Rich & Full Bodied,Amanda Schuster,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
