,name,type,location,rating,num_ratings,age,price,abv,style,cask,flavor_summary,expert,score,Smoky,Peaty,Spicy,Herbal,Oily,Full-bodied,Rich,Sweet,Briny,Salty,Vanilla,Tart,Fruity,Floral
870,Barrell Craft Spirits Bourbon 15 Year (2020 Release),Bourbon,"Barrell Craft Spirits // (bottled in) Kentucky, USA",4.38,24,15 Year,5,52.45,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Rich,Jacob Grier,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
871,New Liberty Bloody Butcher Straight Bourbon,Bourbon,"New Liberty // Pennsylvania, USA",3.78,10,3 Year,3,47.5,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Rich,Jacob Grier,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
872,Bulleit 10 Year Bourbon,Bourbon,"Bulleit // Kentucky, USA",3.68,2223,10,2,45.6,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Rich & Spicy,Rob Morton,89,60.0,0.0,70.0,40.0,50.0,60.0,70.0,40.0,0.0,0.0,40.0,20.0,50.0,30.0
873,Rabbit Hole Raceking Founder's Collection Kentucky Straight Bourbon,Bourbon,"Rabbit Hole // Kentucky, USA",,0,NAS ,5,56.2,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Rich & Full Bodied,Amanda Schuster,89,10.0,0.0,30.0,20.0,15.0,85.0,85.0,70.0,0.0,3.0,30.0,15.0,20.0,5.0
874,Old Bardstown Bottled in Bond Kentucky Straight Bourbon,Bourbon,"Old Bardstown // Kentucky , USA",3.27,150,NAS,1,50.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Rich & Full Bodied,Amanda Schuster,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
875,Backbone Prime Blended Bourbon,Bourbon,"Backbone Bourbon // Indiana (bottled in Kentucky), USA",3.57,33,NAS,2,52.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Spicy & Full Bodied,Lucas Gamlin,82,40.0,20.0,80.0,40.0,40.0,70.0,50.0,30.0,30.0,20.0,30.0,20.0,30.0,30.0
876,Horse Soldier Barrel Strength Bourbon,Bourbon,"Horse Soldier // Ohio, USA",3.79,114,NAS,4,55.5,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.",American Oak,Spicy & Full Bodied,Lucas Gamlin,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
877,Cotton Hollow Kentucky Straight Bourbon,Bourbon,"Cotton Hollow // Kentucky, USA",3.87,41,Varies by Batch,2,46.5,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","New, Charred American Oak",Spicy & Full Bodied,Lucas Gamlin,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
878,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),Bourbon,"Bird Dog // Kentucky, USA",3.18,93,NAS,2,43.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Spicy,Thijs Klaverstijn,82,0.0,0.0,55.0,45.0,5.0,15.0,35.0,40.0,0.0,0.0,45.0,0.0,40.0,10.0
879,Overeem Bourbon Cask Matured Single Malt Cask Strength,Single Malt,"Overeem // Tasmania, Australia",3.6,4,NAS,5,60.0,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.",ex-bourbon,Vanilla,Marcus Parmenter,96,30.0,0.0,40.0,20.0,40.0,30.0,20.0,50.0,30.0,20.0,70.0,10.0,50.0,40.0
880,Willett Family Estate Bottled Bourbon,Bourbon,"Willett // Kentucky, USA",4.34,179,Varies,4,,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","New, Charred American Oak",Vanilla,Marcus Parmenter,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
881,Virgil Kaine Electric Owl 9 Year Bourbon,Bourbon,"Virgil Kaine // (bottled in) South Carolina, USA",4.06,8,9 Year,3,50.05,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.",finished in barrels which held both Pinot Noir and ale,Spicy & Fruity,Jake Emen,89,30.0,0.0,80.0,60.0,40.0,70.0,60.0,60.0,0.0,10.0,60.0,30.0,70.0,10.0
882,Jeptha Creed Four Grain Straight Bourbon,Bourbon,"Jeptha Creed // Kentucky, USA",2.7,65,NAS,3,49.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.",,Spicy & Fruity,Jake Emen,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
883,Fireside Straight Bourbon,Bourbon,"Fireside // Colorado, USA",3.17,76,NAS,1,40.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Spicy & Fruity,Jake Emen,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
884,MB Roland Kentucky Straight Bourbon Whiskey (Batch 57),Bourbon,"MB Roland // Kentucky, USA",4.0,1,NAS,2,55.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Spicy & Fruity,Jake Emen,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
885,Sam Houston 12 Year Kentucky Straight Bourbon (Release No. 2 2019),Bourbon,"Sam Houston // Kentucky, USA",3.73,23,12 Year,4,49.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Vanilla & Spicy,Jacob Grier,88,15.0,0.0,65.0,30.0,50.0,60.0,60.0,60.0,5.0,5.0,65.0,10.0,20.0,15.0
886,Bookerâ€™s Bourbon Batch 2016-01 â€œBookerâ€™s Bluegrassâ€,Bourbon,"Booker's // Kentucky, USA",4.29,253,"6 years, 11 mo",3,63.95,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Full Bodied & Rich,Jacob Grier,94,15.0,0.0,60.0,0.0,40.0,70.0,60.0,30.0,5.0,0.0,40.0,0.0,15.0,0.0
887,Eagle Rare 17 Year Bourbon (Fall 2015),Bourbon,"Eagle Rare // Kentucky, USA",4.38,94,17 Year,3,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Full Bodied & Vanilla,Jake Emen,96,20.0,0.0,50.0,10.0,10.0,80.0,60.0,70.0,0.0,0.0,70.0,10.0,30.0,10.0
888,Calumet Farm Bourbon,Bourbon,Western Spirits Beverage Company // USA,3.09,370,,2,43.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Tart & Vanilla,Brock Schulte,72,60.0,0.0,60.0,30.0,0.0,40.0,50.0,60.0,0.0,5.0,60.0,60.0,50.0,10.0
889,Hayes Parker Bourbon,Bourbon,"Hayes Parker // South Carolina , USA",1.78,51,NAS,1,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","New, Charred American Oak",Tart & Vanilla,Brock Schulte,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
890,Four Roses Limited Edition Small Batch Bourbon (2017),Bourbon,"Four Roses // Kentucky, USA",4.27,105,NAS,4,53.65,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Fruity & Floral,Tim Knittel,92,20.0,0.0,20.0,10.0,0.0,30.0,40.0,60.0,0.0,0.0,60.0,50.0,90.0,85.0
891,Split Rock Organic Bourbon Whiskey,Bourbon,"Split Rock // Maine, USA",3.4,15,NAS,3,44.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","New, Charred American Oak",Fruity & Floral,Tim Knittel,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
892,Central Standard Bourbon,Bourbon,"Central Standard // Wisconsin, USA",2.36,11,NAS,2,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Spicy,Jacob Grier,80,0.0,0.0,50.0,20.0,10.0,20.0,15.0,20.0,10.0,0.0,30.0,10.0,0.0,0.0
893,Tom's Town Pendergast's Royal Gold Bourbon,Bourbon,"Tom's Town // Tennessee (bottled in Missouri), USA",3.76,58,NAS,3,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.",finished in port casks,Spicy,Jacob Grier,85,10.0,0.0,50.0,30.0,25.0,25.0,30.0,35.0,10.0,0.0,35.0,25.0,35.0,25.0
894,Filibuster Bourbon,Bourbon,Filibuster // USA,3.17,116,NAS,2,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.",ex-bourbon/ex-wine,Sweet & Fruity,Amanda Schuster,76,0.0,0.0,25.0,15.0,0.0,50.0,45.0,80.0,0.0,0.0,15.0,0.0,70.0,15.0
895,Booker's Bourbon Batch 2018-01 Kathleen's Batch,Bourbon,"Booker's // Kentucky, USA",4.31,171,6 YR 3 MO 14 DY,3,63.7,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Vanilla & Rich,Jake Emen,91,10.0,0.0,60.0,40.0,0.0,70.0,70.0,60.0,0.0,10.0,70.0,10.0,0.0,0.0
